title;company;description;location;requirements;technologies;salary;modality;languages;contract_type;error;link
Desarrollador/a Fullstack Java y Angular | 100% TELETRABAJO;Grupo Hasten;Desde Grupo Hasten estamos seleccionando perfiles de Desarrolladores/as Fullstack Java y Angular para trabajar con uno de nuestros importantes clientes de manera 100% remota. Si la persona reside en Madrid se requerirá presencialidad híbrida (2 días presencial en Nuevos Ministerios). Funciones: Desarrollo mantenimiento evolutivo y correctivo en sector público.;Remoto (Madrid);Experiencia de al menos 2 años como Desarrollador/a Fullstack Java y Angular, Experiencia trabajando con Java, springboot, Angular, Visual Studio Code;Java, Angular, Spring Boot;28000;remoto;;indefinido;False;https://www.infojobs.net/remoto/desarrollador-fullstack-java-angular-100-teletrabajo/of-i9edc8f4063447dbf28609a85ffa69a?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Desarrollador/a Full Stack;Datatech Business Solutions, sl;Se necesita incorporar en entidad financiera un perfil desarrollador full stack. Imprescindible: - Back end: al menos 3 años de experiencia en desarrollo JAVA en modo de microservicios - Front end: al menos 3 años de experiencia en Angular o React. Desarrollo profesional, buenas condiciones económicas y estabilidad laboral.;Madrid;Al menos 4 años de experiencia, Experiencia en desarrollo JAVA en modo de microservicios, Experiencia en Angular o React;JAVA, Angular, React;;híbrido;;indefinido;False;https://www.infojobs.net/madrid/desarrollador-full-stack/of-i9e992e8da94e8db77e8bff8e799a95?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Desarrollador Node & Angular;SEREM Consultoría Empresarial;"Desde Serem nos encontramos en la búsqueda de un DESARROLLADOR ANGULAR + NODE SENIOR con al menos 3 años de experiencia para importante proyecto del sector seguros en Barcelona. Requisitos: Senior frontend engineer para nuevo equipo en Cliente Seguros Importante buen nivel de inglés porque la comunicación con cliente será en este idioma (valorable también Francés). Este perfil tendrá que trabajar de forma conjunta con el equipo de Francia y apoyar a los perfiles junior del equipo en Barcelona. Será necesario que acuda a la oficina de Barcelona del cliente 2 días por semana. Necesario conocimiento técnico: Angular y Nodejs. Valorable: AWS, Agile Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal. Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.";Barcelona;Ciclo Formativo Grado Superior, Al menos 3 años de experiencia;Angular, Nodejs;;híbrido;inglés;indefinido;False;https://www.infojobs.net/barcelona/desarrollador-node-angular/of-i8804bd68ac424ab14d6200fa62e46e?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
FullStack Engineer Java/Angular | Inglés | 100% Remoto;Knowmad Mood;Ahora somos knowmad mood! Si tu objetivo es seguir creciendo profesionalmente junto a un equipo de alto nivel, con mucha experiencia trabajando en Java, ¡esta es tu oferta! Te damos la oportunidad de poder trabajar para un importante cliente. ¿Qué buscamos? Que tengas experiencia previa en desarrollo fullstack de aplicaciones con arquitectura back-end de microservicios creados con Spring Boot y front-ends basados en Angular. Implementación de APIs (síncronas/asíncronas) usando Spring. Conocimiento y experiencia previa usando programación funcional (Uso de versiones de Java 8 y posteriores). Uso de bases de datos relacionales y no relacionales (MongoDB, CouchBase). Experiencia trabajando en proyectos con Git. Experiencia en frameworks de testing (JUnit, Mockito, Jest...). Conocimiento de patrones básicos de diseño en aplicaciones de alta disponibilidad y buenas prácticas en el uso de los mismos. Enfoque en la entrega de productos de calidad y fácilmente mantenibles. Experiencia previa en monitorización de sistemas productivos y uso de herramientas destinadas para este fin. Experiencia de trabajo bajo un marco de gestión usando metodologías agiles.;Cádiz;Experiencia previa en desarrollo fullstack de aplicaciones, Arquitectura back-end de microservicios, Front-ends basados en Angular, Implementación de APIs usando Spring, Programación funcional, Uso de bases de datos relacionales y no relacionales, Experiencia trabajando en proyectos con Git, Experiencia en frameworks de testing, Conocimiento de patrones básicos de diseño, Enfoque en la entrega de productos de calidad, Experiencia previa en monitorización de sistemas productivos, Experiencia de trabajo bajo un marco de gestión usando metodologías agiles;Java, Angular, Microservicios, Spring Boot, MongoDB, CouchBase, JUnit, Mockito, Jest;;remoto;inglés;indefinido;False;https://www.infojobs.net/cadiz/fullstack-engineer-java-angular-ingles-100-remoto/of-i46c124ca534b719d0d6647566fdb94?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Beca Quality Assurance;Worldline Iberia;"We are the innovators at the heart of the payments technology industry, shaping how the world pays and gets paid. The solutions our people build today power the growth of millions of businesses tomorrow. From your local coffee shop to unicorns and international banks. From San Francisco to Auckland. We are in every corner of the world, in every part of commerce. And just as we help our customers accelerate their business, we are committed to helping our people accelerate their careers. Together, we shape the evolution. The Opportunity We have vacancies in various areas of expertise:· Native applications (iOS, Android, and cross-platform)· Full Stack (Back End, Front End)· UX and Design· Mobile-specialized QA and automation· E-Commerce applications· Mobile messaging Day-to-Day Responsibilities WHAT IS THE OBJECTIVE OF THE SCHOLARSHIP? The objective is to train the students in the technologies and methodologies commonly used by us so that, upon completion of the one-year scholarship, they can join as employees. Each student will be assigned a mentor who will be responsible for guiding them throughout the scholarship, serving as their reference throughout the learning process. Mentors are employees with many years of experience in the web application development sector. WHAT WILL I LEARN IN THIS SCHOLARSHIP? Each student will specialize in web application development, both on the front-end and back-end. Initially, there is a period in which you will need to study and assimilate specific information about the technology: programming environment, internal programming regulations, and methodology. Once this stage is completed, we move to a ""learn by doing"" approach where you will participate in specific tasks in the area, always under the supervision of your mentor.";Barcelona;Computer Engineering students in their final year of study, Active, curious, detail-oriented, and organized person, High level of English, Interest in development and maintenance of servers and databases, Participating in the front-end and back-end architecture of web applications, Generating code for front-end and back-end applications to connect databases and networks, Creating websites and applications from scratch;HTML, CSS, JavaScript, React, Angular, Vue.js, Java, Node.js, Git, Gitflow, SCRUM, REST, APIs;8000;híbrido;inglés;Contrato formativo, jornada parcial - indiferente;False;https://www.infojobs.net/barcelona/beca-quality-assurance/of-i3cdd095f3e44919e7c036411aa8554?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Programador Fullstack NodeJS / React;ENTELGY - Zona Madrid;¡HOLA! Bienvenido a nuestras ofertas :) Vamos a contarte qué buscamos y qué nos hace Genuine. ¿Qué estamos buscando? Buscamos una persona para ocupar el rol de Programador Fullstack NodeJS / React con al menos 2 a 4 años de experiencia laboral en JavaScript, Nodejs, React y React Native para un importante empresa de Barcelona para trabajar en modelo 100% remoto. ¿Qué tienes que hacer? - Desarrollo y mantenimiento de aplicaciones.- Colaborar en el diseño de arquitectura y nuevas funcionalidades.- Implementar buenas prácticas de desarrollo.- Gestión de BBDD con PostgreSQL.- Resolver incidencias técnicas y mejorar el rendimiento.;Madrid;Contar al menos con 2 a 4 años de experiencia en: - JavaScript, Nodejs, React y React Native., Base de datos PostgreSQL., Familiaridad con entornos cloud en Azure., Conocimientos en despliegue (Netlify) y monitorización y error tracking., New Relic, Uptimebot y Bugsnag., Tests unitarios con Playwright for End-To-End para la web, Vitest para el back y Maestro Test para la app.;JavaScript, Node.js, React, PostgreSQL, Azure;;remoto;;indefinido;False;https://www.infojobs.net/madrid/programador-fullstack-nodejs-react/of-i76146f70444310a4c4667542ed836a?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Senior Full Stack Developer - Hybrid, Madrid;UST España;UST is looking for the very Top Talent...and we would be delighted if you were to join our family! More in detail, UST is a multinational company based in North America, certified as a Top Employer and Great Place to Work company with over 35.000 employees all over the world and a presence in more than 35 countries. We are leaders on digital technology services, and we provide large-scale technologic solutions to big companies.;Madrid;Ciclo Formativo Grado Superior, Más de 5 años de experiencia;Java, Spring Boot, RESTful microservices, React, JavaScript/TypeScript, Kubernetes, Docker, Helm, Terraform;;híbrido;inglés, español;indefinido;False;https://www.infojobs.net/madrid/senior-full-stack-developer-hybrid-madrid/of-ifbfd802d924fb785199572f87d050b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Desarrollador/a Software (certificado discapacidad);Fundació Esclerosi Múltiple;Fundación Esclerosis Múltiple desde su servicio de consultoría para empresas FEM Talent, selecciona para consultora tecnológica especializada en servicios para industria 4.0: Perfil con experiencia en programación y desarrollo de nuevos productos de software. Desarrollar e integrar software para pymes y grandes empresas de diversos sectores, tomando parte en sus procesos de transformación digital. Las funciones de la persona seleccionada serán: - Programación y desarrollo de nuevas funcionalidades en los sistemas de software en la industria 4.0 (MES, SGA, QMS, GMAO, Planificación, Gemelo digital, etc) - Programación y desarrollo de nuevos productos asociados a tecnologías avanzadas como el machine learning, blockchain, entre otros. - Participación en el equipo de desarrollo con nuevas ideas y aportaciones para mejorar los productos. - Depuración local/remota y parametrización de instalaciones.;Castelldefels;Conocimientos de ingeniería de software y desarrollo., Lenguaje Javascript, HTML, PHP, Jquery, CSS, Conocimientos en base de datos y Lenguaje SQL., Valorables conocimientos en Docker y Openshift, Capacidad de trabajo en equipo y gran motivación por la tecnología., Experiencia mínima de 2 años en posición similar., Certificado de discapacidad del 33% o superior;Javascript, HTML, PHP, Jquery, CSS, SQL, Docker, Openshift;;remoto;;indefinido;False;https://www.infojobs.net/castelldefels/desarrollador-software-certificado-discapacidad/of-if8a93ded4545a1a767aedad5a0e9c7?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Programador/a Java Full-Stack (Spring Boot, Angular, BBDD);Enova-IT Solutions, SL;Estamos buscando un/a Programador/a Java Full-Stack apasionado/a y con experiencia para unirse a nuestro equipo dinámico e innovador en San Sebastián de los Reyes (Madrid). Si te encanta desarrollar soluciones robustas y escalables, trabajar con tecnologías punteras y formar parte de un entorno colaborativo, ¡esta es tu oportunidad!;San Sebastián De Los Reyes (Madrid);Experiencia mínima de 2 años como programador/a Java., Sólidos conocimientos y experiencia práctica en el desarrollo con Java y el framework Spring Boot., Experiencia demostrable en el desarrollo de front-ends con Angular (versiones 8 o superiores preferiblemente)., Experiencia trabajando con bases de datos relacionales y conocimiento de SQL., Experiencia trabajando con al menos una base de datos NoSQL., Conocimientos de control de versiones (preferiblemente Git)., Capacidad para trabajar de forma autónoma y en equipo., Habilidades de resolución de problemas y pensamiento analítico., Buena capacidad de comunicación.;Java, Spring Boot, Angular, SQL, NoSQL, Git;27000;presencial;inglés;indefinido;False;https://www.infojobs.net/san-sebastian-de-los-reyes/programador-java-full-stack-spring-boot-angular-bbdd/of-ib9ae0fc923412f98da48783a2579d2?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Fullstack Developer University;Hiberus Tecnologia;Buscamos titulados/as universitarios/as en carreras técnicas con motivación y pasión por el negocio de la tecnología. No hace falta que tengas experiencia, simplemente que quieras formarte y unirte a la compañía española que más ha crecido en los dos últimos años. Buscamos personas que nos ayuden a seguir creciendo, con ganas de aportar y seguir evolucionando de la mano de los mejores profesionales, pero sobre todo... ¡en Hiberus buscamos buena gente! ¿Qué aprenderás? Una formación remunerada muy completa de 300 horas en tecnologías: - Base técnica en Java fundamental y avanzado - Especialización en Microservicios - Desarrollo frontend con Angular Después de tu éxito en la formación, te asignaremos en proyectos dentro de hiberus.;Santander;Titulación universitaria reciente, o en último año de carrera., Preferencia en carreras universitarias técnicas (Ingenierías, Matemáticas, Física, Estadística...)., Habilidades de trabajo en equipo y comunicación., Interés en trabajar en proyectos retadores y tecnológicos del sector bancario para nuestra cartera de clientes.;Java, Spring Framework, Angular, microservicios;;presencial;;indefinido;False;https://www.infojobs.net/santander/fullstack-developer-university/of-i73c63e6d1a4e3f965c9e0fa5d8af99?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Programador/a Full Stack Junior;APROBATUS SCHOOL;En Aprobatus School estamos creciendo y buscamos un/a Programador/a Full Stack Junior con experiencia en PHP y WordPress. Si te apasiona la programación, disfrutas resolviendo problemas y quieres formar parte de un equipo innovador en constante evolución, ¡te queremos conocer! Responsabilidades: Desarrollar y mantener aplicaciones web tanto en front-end como en back-end. Participar activamente en proyectos basados en PHP y WordPress. Colaborar en el diseño e implementación de nuevas funcionalidades. Optimizar el rendimiento y la eficiencia del código. Resolver bugs y contribuir a la mejora continua del producto. Trabajar de forma colaborativa con diseñadores y desarrolladores para ofrecer experiencias digitales de calidad.;Tarragona;Experiencia comprobable en desarrollo con PHP y WordPress (imprescindible)., Conocimientos en JavaScript, HTML, CSS y frameworks como React, Angular o Vue.js., Familiaridad con bases de datos SQL o MySQL., Experiencia básica o interés por tecnologías como Python o Java., Capacidad para trabajar en equipo, iniciativa y ganas de aprender.;PHP, WordPress, MySQL, CSS, HTML, SQL, Java, JavaScript;;presencial;;indefinido;False;https://www.infojobs.net/tarragona/programador-full-stack-junior/of-i93dd6a981345e889807efb494fc697?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
